x,a,b,c,d,index_value,true_index_value
578,225,102,119,164,393,3895.96
579,225,101,116,164,395,3895.83
580,226,101,116,164,396,3895.77
581,226,101,116,164,402,3895.38
582,226,101,117,165,399,3895.58
583,226,101,117,165,398,3895.64
584,226,101,115,166,404,3895.26
585,226,101,115,166,406,3895.13
586,226,101,117,166,409,3894.93
587,226,101,117,166,408,3895.0
588,226,100,115,166,405,3895.19
589,226,99,114,166,404,3895.26
590,226,98,113,166,396,3895.77
591,226,97,113,166,395,3895.83
592,226,96,113,165,387,3896.35
593,225,95,112,165,386,3896.41
594,225,95,112,165,384,3896.54
595,226,95,113,165,384,3896.54
596,226,95,112,165,381,3896.74
597,226,94,112,166,379,3896.86
598,226,93,111,166,373,3897.25
599,226,92,110,166,372,3897.31
600,226,92,110,167,372,3897.31
601,226,92,110,167,376,3897.06
602,226,92,109,167,381,3896.74
603,226,93,109,168,381,3896.74
604,226,93,110,168,376,3897.06
605,226,93,111,168,377,3896.99
606,226,93,110,168,382,3896.67
607,226,94,110,168,384,3896.54
608,226,94,110,167,382,3896.67
609,226,93,111,167,373,3897.25
610,226,92,110,167,371,3897.38
611,226,91,109,166,364,3897.83
612,226,90,108,165,363,3897.89
613,225,89,108,163,362,3897.96
614,225,88,107,162,361,3898.02
615,224,87,106,162,357,3898.28
616,224,87,105,161,360,3898.09
617,223,87,105,161,361,3898.02
618,223,87,107,161,364,3897.83
619,224,87,106,161,368,3897.57
620,224,87,106,162,370,3897.44
621,224,87,106,162,375,3897.12
622,224,88,107,162,373,3897.25
623,224,88,108,163,373,3897.25
624,224,88,108,163,367,3897.64
625,224,88,108,163,364,3897.83
626,224,87,107,163,355,3898.41
627,224,86,107,163,353,3898.54
628,224,85,106,163,355,3898.41
629,223,85,105,163,357,3898.28
630,224,86,105,162,367,3897.64
631,224,88,106,162,368,3897.57
632,224,89,109,162,374,3897.19
633,224,90,110,163,370,3897.44
634,224,90,111,163,370,3897.44
635,224,90,111,164,370,3897.44
636,224,90,112,164,370,3897.44
637,224,90,112,164,369,3897.51
638,224,90,112,164,368,3897.57
639,224,90,112,165,363,3897.89
640,224,91,112,165,363,3897.89
641,224,91,113,166,363,3897.89
642,224,91,113,166,367,3897.64
643,224,90,112,166,369,3897.51
644,224,90,112,166,370,3897.44
645,224,89,112,166,370,3897.44
646,225,90,112,166,375,3897.12
647,225,91,112,167,376,3897.06
648,225,92,112,167,380,3896.8
649,225,92,114,168,379,3896.86
650,225,92,114,169,379,3896.86
651,225,92,114,169,377,3896.99
652,225,92,114,169,377,3896.99
653,225,92,114,169,377,3896.99
654,226,92,115,170,376,3897.06
655,226,92,114,170,379,3896.86
656,226,93,114,171,380,3896.8
657,226,94,114,171,387,3896.35
658,226,95,115,172,389,3896.22
659,226,95,116,172,389,3896.22
660,227,95,117,173,389,3896.22
661,227,95,117,173,390,3896.16
662,227,95,117,173,388,3896.29
663,227,95,117,173,384,3896.54
664,227,95,117,173,379,3896.86
665,227,94,116,173,378,3896.93
666,227,93,116,174,377,3896.99
667,227,93,115,174,371,3897.38
668,227,92,114,174,370,3897.44
669,227,92,114,174,371,3897.38
670,227,91,113,174,370,3897.44
671,227,91,113,174,371,3897.38
672,227,91,113,174,371,3897.38
673,227,91,113,175,372,3897.31
674,227,91,113,175,372,3897.31
675,227,92,113,175,373,3897.25
676,228,93,113,176,370,3897.44
677,228,93,115,178,367,3897.64
678,228,93,115,179,363,3897.89
679,228,93,114,179,360,3898.09
680,228,93,114,178,352,3898.6
681,228,92,113,178,351,3898.67
682,228,92,113,178,356,3898.34
683,228,93,113,179,359,3898.15
684,228,93,113,179,357,3898.28
685,228,93,114,179,355,3898.41
686,228,93,114,179,359,3898.15
687,229,94,114,179,365,3897.77
688,229,95,115,181,367,3897.64
689,229,96,116,182,373,3897.25
690,230,98,116,182,380,3896.8
691,230,101,118,183,394,3895.9
692,231,103,121,185,400,3895.51
693,231,104,124,187,403,3895.32
694,231,104,124,188,395,3895.83
695,231,104,124,188,394,3895.9
696,231,104,124,189,393,3895.96
697,231,104,124,189,395,3895.83
698,231,104,124,189,395,3895.83
699,232,104,123,189,394,3895.9
700,232,104,123,190,393,3895.96
701,232,104,123,191,393,3895.96
702,232,104,123,191,389,3896.22
703,232,103,123,191,384,3896.54
704,232,102,122,191,377,3896.99
705,232,102,121,191,376,3897.06
706,232,101,121,191,377,3896.99
707,232,100,120,191,380,3896.8
708,232,100,119,191,381,3896.74
709,232,100,119,191,378,3896.93
710,232,100,119,192,378,3896.93
711,232,99,118,192,378,3896.93
712,232,99,118,191,378,3896.93
713,232,99,118,191,377,3896.99
714,231,98,117,191,365,3897.77
715,231,96,117,190,365,3897.77
716,231,95,114,189,354,3898.47
717,231,94,114,189,351,3898.67
718,231,94,114,189,348,3898.86
719,231,94,114,189,348,3898.86
720,231,94,114,190,345,3899.05
721,231,93,113,189,346,3898.99
722,231,93,113,189,346,3898.99
723,231,93,113,189,344,3899.12
724,230,92,112,189,340,3899.37
725,230,92,112,189,336,3899.63
726,230,91,112,188,330,3900.02
727,230,90,111,188,328,3900.15
728,230,88,110,187,320,3900.66
729,230,87,109,187,316,3900.92
730,230,86,108,187,313,3901.11
731,230,86,108,187,313,3901.11
732,230,86,108,187,318,3900.79
733,229,86,108,186,318,3900.79
734,229,86,108,186,313,3901.11
735,229,86,108,186,307,3901.5
736,229,85,107,185,302,3901.82
737,229,85,107,185,300,3901.95
738,229,84,106,185,300,3901.95
739,229,86,106,185,307,3901.5
740,229,88,108,186,307,3901.5
741,229,90,111,187,311,3901.24
742,229,90,111,187,312,3901.18
743,229,89,110,187,312,3901.18
744,229,88,110,187,313,3901.11
745,229,88,109,187,312,3901.18
746,229,88,109,187,311,3901.24
747,229,88,109,187,305,3901.63
748,229,87,108,186,303,3901.76
749,229,86,107,185,292,3902.46
750,229,84,106,184,291,3902.53
751,228,83,105,184,286,3902.85
752,228,83,105,184,289,3902.66
753,228,83,105,184,289,3902.66
754,228,83,105,183,287,3902.79
755,228,82,104,183,284,3902.98
756,228,81,104,183,282,3903.11
757,228,80,103,181,279,3903.3
758,227,80,103,180,279,3903.3
759,227,80,103,180,282,3903.11
760,227,80,103,181,283,3903.04
761,227,80,103,180,279,3903.3
762,226,79,102,180,275,3903.56
763,226,79,102,180,275,3903.56
764,226,79,102,180,275,3903.56
765,226,78,101,179,275,3903.56
766,226,79,101,179,285,3902.91
767,226,80,101,179,286,3902.85
768,226,81,103,180,290,3902.59
769,226,81,103,179,288,3902.72
770,226,82,103,178,289,3902.66
771,226,82,103,178,288,3902.72
772,226,82,105,178,286,3902.85
773,226,81,104,177,284,3902.98
774,225,80,103,177,285,3902.91
775,225,80,103,177,284,3902.98
776,225,81,103,177,284,3902.98
777,225,81,103,177,288,3902.72
778,225,82,103,177,290,3902.59
779,226,83,104,178,293,3902.4
780,226,83,105,178,293,3902.4
781,226,83,105,179,294,3902.33
782,226,83,104,178,294,3902.33
783,226,83,104,178,294,3902.33
784,225,83,104,178,294,3902.33
785,225,83,105,178,293,3902.4
786,226,83,105,178,293,3902.4
787,226,84,105,179,293,3902.4
788,226,85,104,180,296,3902.21
789,226,87,104,180,303,3901.76
790,226,88,106,180,307,3901.5
791,226,89,108,181,313,3901.11
792,227,90,108,182,314,3901.05
793,227,91,109,182,315,3900.98
794,227,91,110,182,313,3901.11
795,227,90,110,182,305,3901.63
796,227,89,109,182,304,3901.69
797,227,88,108,183,308,3901.43
798,227,88,108,183,309,3901.37
799,227,88,108,183,308,3901.43
800,227,87,108,183,304,3901.69
801,227,87,108,183,303,3901.76
802,227,87,107,183,297,3902.14
803,227,86,107,182,295,3902.27
804,226,85,106,182,288,3902.72
805,226,84,105,181,286,3902.85
806,226,85,105,181,285,3902.91
807,226,85,105,181,283,3903.04
808,226,85,106,180,283,3903.04
809,226,85,106,180,283,3903.04
810,225,85,106,180,282,3903.11
811,225,84,106,180,282,3903.11
812,225,84,105,180,278,3903.36
813,225,84,105,180,278,3903.36
814,225,84,105,180,281,3903.17
815,225,85,105,180,282,3903.11
816,225,86,106,180,286,3902.85
817,225,86,106,180,284,3902.98
818,225,85,106,179,280,3903.24
819,225,84,106,178,277,3903.43
